timestamp,ax,ay,az,gx,gy,gz,lin_ax,lin_ay,lin_az,grav_x,grav_y,grav_z,speed,lat,lon,prob_none,prob_pothole,prob_speedbump
1782141439898,-0.15195,9.238951,3.5299501,0.11385,-0.1852125,0.2869625,-0.27849287,-0.08942413,0.50740194,0.09574118,9.327093,3.0276334,0.062371723,-6.9789839,110.4071253,0.86101955,0.012047174,0.12693325
1782141439908,0.16995001,9.12405,3.4320002,0.1340625,-0.2267375,0.3168,0.026071116,-0.20187378,0.4026699,0.12481588,9.32604,3.0298166,0.062371723,-6.9789839,110.4071253,0.86101955,0.012047174,0.12693325
1782141439918,0.48105,9.15795,3.2040002,0.1596375,-0.2193125,0.3125375,0.29455596,-0.16988373,0.18289065,0.18282676,9.328811,3.0183208,0.062371723,-6.9789839,110.4071253,0.86101955,0.012047174,0.12693325
1782141439928,0.65595,9.114,3.0649502,0.170225,-0.208725,0.3018125,0.5457282,-0.1838398,-0.064483166,0.18649405,9.327834,3.0211096,0.062371723,-6.9789839,110.4071253,0.86101955,0.012047174,0.12693325
1782141439939,0.85995007,9.1699505,2.5740001,0.1830125,-0.11715,0.259325,0.59056413,-0.16776466,-0.41011167,0.25074324,9.334624,2.9953794,0.062371723,-6.9789839,110.4071253,0.86101955,0.012047174,0.12693325
1782141439948,0.864,9.214951,2.8980002,0.1670625,0.01375,0.23485,0.56019795,-0.12760353,-0.06760144,0.28659752,9.34059,2.9734862,0.062371723,-6.9789839,110.4071253,0.86101955,0.012047174,0.12693325
1782141439959,0.76605004,9.261001,3.2899501,0.1596375,0.12979999,0.21133749,0.4233089,-0.08429146,0.33725238,0.32113633,9.342761,2.9631162,0.062371723,-6.9789839,110.4071253,0.86101955,0.012047174,0.12693325
1782141439968,0.70905006,9.19305,3.3000002,0.189475,0.137225,0.18053749,0.34881827,-0.15070438,0.34451532,0.35402504,9.3460045,2.9491088,0.062371723,-6.9789839,110.4071253,0.86101955,0.012047174,0.12693325
1782141439978,0.67800003,8.976001,3.1729503,0.2022625,0.138325,0.1709125,0.27941358,-0.4122553,0.30485797,0.3602318,9.343755,2.9554849,0.062371723,-6.9789839,110.4071253,0.86101955,0.012047174,0.12693325
1782141439988,0.99600005,8.892,3.4099503,0.203225,0.138325,0.1496,0.39562768,-0.3921728,0.48382688,0.38542235,9.348224,2.9381232,0.062371723,-6.9789839,110.4071253,0.86101955,0.012047174,0.12693325
1782141439997,1.12995,8.941951,3.28605,0.2404875,0.0499125,0.109175,0.7126847,-0.41036892,0.3653648,0.4065756,9.350549,2.9278562,0.062371723,-6.9789839,110.4071253,0.86101955,0.012047174,0.12693325
1782141440012,2.3779502,7.5150003,3.3960001,0.2905375,-0.050049998,-0.02915,1.9469485,-1.8476238,0.5105405,0.4310016,9.362624,2.8854597,0.062371723,-6.9789839,110.4071253,0.86101955,0.012047174,0.12693325
1782141440019,2.2699502,7.8790503,3.27795,0.2959,-0.11605,-0.12705,1.8321667,-1.4859343,0.40117812,0.43676353,9.361389,2.8886032,0.062371723,-6.9789839,110.4071253,0.86101955,0.012047174,0.12693325
1782141440028,2.019,8.307,3.24705,0.3053875,-0.2011625,-0.3089625,1.58831,-1.0656767,0.39436102,0.43555006,9.36882,2.8645933,0.062371723,-6.9789839,110.4071253,0.86101955,0.012047174,0.12693325
1782141440039,1.4989501,8.772,3.4150503,0.3320625,-0.2341625,-0.4761625,1.0863996,-0.6080551,0.5840125,0.4229837,9.376458,2.8413954,0.062371723,-6.9789839,110.4071253,0.86101955,0.012047174,0.12693325
1782141440049,1.01505,9.13095,3.5160003,0.386375,-0.2352625,-0.590975,0.6272353,-0.25439358,0.6990285,0.40156683,9.38281,2.823477,0.062371723,-6.9789839,110.4071253,0.86101955,0.012047174,0.12693325
